instance name,OR-Tools averagistic,OR-Tools realistic,SPT,MWKR,MOPNR,FDD/MWKR,model,CPLEX
60x10_51.npz,5076,4206,5280,4276,4230,4278,4246,4254
60x10_52.npz,5395,4239,5548,4771,4744,4879,4500,4678
60x10_53.npz,5223,4146,5215,4273,4448,4393,4435,4210
60x10_54.npz,5595,4471,5804,4902,4833,4427,4565,4938
60x10_55.npz,5276,4367,5170,4500,4346,4362,4367,4393
60x10_56.npz,5531,4074,5685,4577,4694,4495,4193,4370
60x10_57.npz,5330,4229,5395,4819,4648,4506,4464,4586
60x10_58.npz,5298,4285,5513,4532,4425,4547,4320,4364
60x10_59.npz,5174,4218,5234,4874,4549,4811,4491,4541
60x10_6.npz,5238,4246,5558,4624,4299,4276,4272,4285
60x10_60.npz,4919,3897,5161,4415,4213,4215,4042,4237
60x10_61.npz,5156,4203,5421,4616,4777,4645,4707,4961
60x10_62.npz,5061,3948,5088,4576,4368,4581,4194,4519
60x10_63.npz,5640,4215,5635,4602,4392,4441,4331,4414
60x10_64.npz,5295,4162,5379,4889,4771,5037,4633,4668
60x10_65.npz,4995,3967,5039,4273,4111,4373,4107,4159
60x10_66.npz,5410,4259,5836,4656,4787,4808,4769,4771
60x10_67.npz,5350,4123,5601,4756,4363,4692,4014,4441
60x10_68.npz,5752,4240,5763,4792,4520,4765,4281,4435
60x10_69.npz,6001,4571,6061,4936,4943,4845,4642,4845
60x10_7.npz,5375,4065,5623,4361,4327,4464,4115,4353
60x10_70.npz,5184,4173,5454,4380,4481,4431,4046,4216
60x10_71.npz,5070,4101,5069,4494,4522,4477,4278,4323
60x10_72.npz,5189,3896,5203,4591,4520,4325,4382,4492
60x10_73.npz,5392,3982,5400,4176,3896,4389,3962,3998
60x10_74.npz,5526,4026,5448,4601,4337,4564,4378,4346
60x10_75.npz,5623,4191,5736,4644,4828,4870,4615,4666
60x10_76.npz,5360,3905,5789,4434,4520,4464,3928,4001
60x10_77.npz,5318,4089,5618,4613,4522,4554,4192,4417
60x10_78.npz,5331,3951,5418,4146,4142,4224,4034,4315
60x10_79.npz,5501,4310,5617,4460,4412,4689,4275,4486
60x10_8.npz,5347,4336,5484,4466,4580,4544,4469,4458
60x10_80.npz,4989,4225,5323,4422,4381,4289,4223,4351
60x10_81.npz,5306,3947,5431,4487,4379,4434,4045,4279
60x10_82.npz,6112,4197,6146,4564,4546,4549,4339,4410
60x10_83.npz,4928,3849,4977,4532,4299,4306,4101,4455
60x10_84.npz,5090,4106,5119,4258,4178,4330,4148,4391
60x10_85.npz,5410,4390,5681,4521,4580,4572,4351,4518
60x10_86.npz,5366,4322,5383,4437,4614,4587,4169,4327
60x10_87.npz,5509,4146,5693,4431,4406,4519,4292,4353
60x10_88.npz,5107,3909,5123,4150,4271,4381,4160,4417
60x10_89.npz,5418,4091,5358,4774,4620,4901,4212,4593
60x10_9.npz,4934,3871,5054,4112,3984,4156,3928,3974
60x10_90.npz,5907,4219,5610,4908,4530,4826,4560,4710
60x10_91.npz,5181,4304,5331,5066,4612,4768,4605,4731
60x10_92.npz,4977,4139,5275,4476,4714,4558,4461,4510
60x10_93.npz,5201,4250,5211,4285,4210,4260,4338,4693
60x10_94.npz,5324,4057,5509,4316,4396,4356,4335,4530
60x10_95.npz,5522,4334,5508,4572,4339,4440,4237,4318
60x10_96.npz,5342,4226,5815,4517,4464,4494,4409,4446
60x10_97.npz,5643,4258,5854,4744,4433,4509,4438,4394
60x10_98.npz,5389,4076,5717,4573,4592,4413,4280,4279
60x10_99.npz,5158,4230,5060,4326,4566,4426,4514,4315
