instance name,OR-Tools averagistic,OR-Tools realistic,SPT,MWKR,MOPNR,FDD/MWKR,model,CPLEX
60x10_0.npz,5229,4086,5471,4754,4684,4853,4447,4414
60x10_1.npz,5376,4082,5322,4542,4573,4648,4341,4561
60x10_10.npz,5388,4341,5376,4336,4311,4491,4341,4436
60x10_11.npz,4995,4048,5263,4256,4089,4136,4061,4094
60x10_12.npz,5113,4109,5225,4268,4355,4216,4092,4293
60x10_13.npz,5086,4070,5162,4397,4278,4365,4290,4256
60x10_14.npz,5280,4204,5395,4293,4344,4392,4287,4217
60x10_15.npz,5937,4096,5980,4471,4451,4459,4318,4464
60x10_16.npz,5247,4139,5342,4709,4735,4649,4480,4506
60x10_17.npz,5327,4358,5235,4586,4233,4493,4218,4636
60x10_18.npz,5519,3941,5437,4600,4511,4531,4409,4388
60x10_19.npz,5156,4193,5279,4209,4076,4383,4085,4350
60x10_2.npz,5363,4323,5741,4727,4437,4400,4184,4409
60x10_20.npz,5251,4186,5425,4442,4240,4492,4186,4436
60x10_21.npz,5369,4151,5616,4656,4652,4652,4422,4770
60x10_22.npz,5530,4031,5593,4592,4543,4711,4394,4625
60x10_23.npz,5504,4078,5529,4293,4458,4311,4317,4268
60x10_24.npz,5924,4227,5762,4752,4494,4630,4412,4570
60x10_25.npz,5287,4161,5574,4525,4359,4505,4581,4463
60x10_26.npz,5077,4167,5223,4261,4158,4125,4211,4326
60x10_27.npz,5110,4069,5276,4375,4171,4357,4115,4288
60x10_28.npz,4949,4047,5052,4323,4111,4258,4221,4375
60x10_29.npz,5208,3968,5296,4659,4496,4444,4200,4526
60x10_3.npz,5471,4570,5638,4787,4505,4573,4599,4626
60x10_30.npz,4959,4232,5186,4592,4530,4662,4267,4515
60x10_31.npz,5261,4299,5480,4463,4418,4876,4436,4426
60x10_32.npz,5616,4701,5647,4969,4712,4772,4701,4811
60x10_33.npz,5247,4042,5617,4245,4342,4377,4130,4188
60x10_34.npz,5597,4620,5798,4963,5018,4942,4745,5058
60x10_35.npz,5174,4097,5548,4804,4671,4619,4405,4618
60x10_36.npz,4913,3852,4975,4146,4342,4234,4181,4256
60x10_37.npz,4770,3981,4865,4502,4433,4504,4135,4249
60x10_38.npz,5312,4071,5351,4481,4489,4658,4330,4686
60x10_39.npz,5000,4096,5236,4472,4534,4495,4415,4558
60x10_4.npz,5726,4431,6038,4482,4333,4354,4248,4340
60x10_40.npz,5599,4363,5797,4711,4414,4541,4474,4518
60x10_41.npz,5550,4390,5908,4766,4674,4765,4490,4790
60x10_42.npz,5231,4087,5206,4421,4184,4226,4280,4230
60x10_43.npz,5622,4412,5626,4508,4493,4310,4412,4524
60x10_44.npz,5139,4104,5248,4596,4602,4574,4249,4309
60x10_45.npz,5168,4060,5426,4826,4694,4857,4538,4458
60x10_46.npz,5317,4188,5532,4460,4178,4470,4251,4499
60x10_47.npz,5311,3927,5480,4361,4187,4151,3954,4005
60x10_48.npz,5217,4119,5284,4467,4449,4689,4116,4475
60x10_49.npz,5227,3881,5431,4885,4582,4615,4262,4321
60x10_5.npz,5228,4191,5454,4219,4298,4361,4389,4313
60x10_50.npz,5364,4104,5517,4776,4643,4697,4530,4595
